date,Discharge(cumecs)
1/2/2011 0:00,5.413
1/3/2011 0:00,3.479
1/4/2011 0:00,2.799
1/5/2011 0:00,2.69
1/6/2011 0:00,8.907
1/7/2011 0:00,10.047
1/8/2011 0:00,0.829
1/9/2011 0:00,7.212
1/10/2011 0:00,3.512
1/11/2011 0:00,2.104
1/12/2011 0:00,2.605
1/1/2012 0:00,2.345
1/2/2012 0:00,4.548
1/3/2012 0:00,3.58
1/4/2012 0:00,2.771
1/5/2012 0:00,8.485
1/6/2012 0:00,2.499
1/7/2012 0:00,15.862
1/8/2012 0:00,8.812
1/9/2012 0:00,44.068
1/10/2012 0:00,27.079
1/11/2012 0:00,4.118
1/12/2012 0:00,4.155
1/1/2013 0:00,4.118
1/2/2013 0:00,3.095
1/3/2013 0:00,4.588
1/4/2013 0:00,3.034
1/5/2013 0:00,1.225
1/6/2013 0:00,7.295
1/7/2013 0:00,9.294
1/8/2013 0:00,18.804
1/9/2013 0:00,204.834
1/10/2013 0:00,18.804
1/11/2013 0:00,25.378
1/12/2013 0:00,6.723
1/1/2014 0:00,5.053
1/2/2014 0:00,4.232
1/3/2014 0:00,3.546
1/4/2014 0:00,0.887
1/5/2014 0:00,1.758
1/6/2014 0:00,8.578
1/7/2014 0:00,12.358
1/8/2014 0:00,18.078
1/9/2014 0:00,28.675
1/10/2014 0:00,5.505
1/11/2014 0:00,2.687
1/12/2014 0:00,3.932
1/1/2015 0:00,4.155
1/2/2015 0:00,4.629
1/3/2015 0:00,3.788
1/4/2015 0:00,3.034
1/5/2015 0:00,1.799
1/6/2015 0:00,2.715
1/7/2015 0:00,4.232
1/8/2015 0:00,16.702
1/9/2015 0:00,10.517
1/10/2015 0:00,4.232
1/11/2015 0:00,4.232
1/12/2015 0:00,5.974
1/1/2016 0:00,5.505
1/2/2016 0:00,4.232
1/3/2016 0:00,4.232
1/4/2016 0:00,4.232
1/5/2016 0:00,2.944
1/6/2016 0:00,1.328
1/7/2016 0:00,6.332
1/8/2016 0:00,11.554
1/9/2016 0:00,2.421
1/10/2016 0:00,2.632
1/11/2016 0:00,2.578
1/12/2016 0:00,2.632
1/1/2017 0:00,3.38
1/2/2017 0:00,2.396
1/3/2017 0:00,4.118
1/4/2017 0:00,0.263
1/5/2017 0:00,0.276
1/6/2017 0:00,0.688
1/7/2017 0:00,2.771
1/8/2017 0:00,1.466
1/9/2017 0:00,1.84
1/10/2017 0:00,0.352
1/11/2017 0:00,0.694
1/12/2017 0:00,2.799
1/1/2018 0:00,3.683
1/2/2018 0:00,0.635
1/3/2018 0:00,0
1/4/2018 0:00,0.01
1/5/2018 0:00,0.766
1/6/2018 0:00,2.104
1/7/2018 0:00,30.412
1/8/2018 0:00,2.271
1/9/2018 0:00,8.031
1/10/2018 0:00,8.907
1/11/2018 0:00,1.284
1/12/2018 0:00,2.151
1/1/2019 0:00,4.193
1/2/2019 0:00,2.828
1/3/2019 0:00,2.104
1/4/2019 0:00,1.882
1/5/2019 0:00,1.167
1/6/2019 0:00,1.55
1/7/2019 0:00,7.212
1/8/2019 0:00,62.816
1/9/2019 0:00,5.505
1/10/2019 0:00,2.605
1/11/2019 0:00,9.491
1/12/2019 0:00,2.345
1/1/2020 0:00,3.188
1/2/2020 0:00,2.886
1/3/2020 0:00,4.467
1/4/2020 0:00,2.296
1/5/2020 0:00,1.561
1/6/2020 0:00,2.886
1/7/2020 0:00,7.636
1/8/2020 0:00,4.155
1/9/2020 0:00,20.305
1/10/2020 0:00,8.076
1/11/2020 0:00,2.828
1/12/2020 0:00,1.521
1/1/2021 0:00,4.629
1/2/2021 0:00,7.005
1/3/2021 0:00,2.974
1/4/2021 0:00,2.37
1/5/2021 0:00,1.678
1/6/2021 0:00,5.974
1/7/2021 0:00,183.21
1/8/2021 0:00,13.819
1/9/2021 0:00,59.433
1/10/2021 0:00,5.694
1/11/2021 0:00,
